ID,Text,LabelID
623,"Symptoms and Types
Primary symptom is a heartbeat that is too fast, too slow, or that skips a beat, which is also referred to as an irregular heartbeat
Physical weakness may develop if pauses between beats are excessively long; loss of consciousness can also occur, however, these side effects are uncommon
In general, symptoms are more common in nonrespiratory than in respiratory form",ASC99
244,"It's crucial for pet owners to recognize symptoms of diabetes in their furry companions. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should be carefully observed. Lethargy and weakness may develop, and pets may become more prone to infections. Some pets may display sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse may occur as the condition progresses.",ASC165
635,"Bella, a 6-year-old Labrador Retriever, has been showing signs of cardiac arrhythmia lately. She frequently coughs after even mild exercise and struggles to keep up during her daily walks. Last week, she collapsed suddenly while playing fetch, leaving her owners panicked. At the veterinary clinic, her irregular heartbeat and faint murmurs were detected. Bella seems lethargic and withdrawn lately, with open-mouth breathing and bluish gums indicating breathing difficulty. She has lost interest in her meals and spends more time sleeping. Her once steady gait is now unsteady, and occasional vomiting episodes have left her weakened.",ASC99
640,"Whiskers, a 10-year-old Persian, has been exhibiting worrying symptoms of cardiac arrhythmia. After brief play sessions, he starts coughing and appears fatigued. Whiskers recently fainted, alarming his owners. At the vet clinic, irregularities in his heartbeat and murmurs were detected. Whiskers seems lethargic and depressed, with open-mouth breathing indicating breathing difficulty. His once hearty appetite has diminished, and he spends more time sleeping. His gait has become unsteady, and occasional vomiting has weakened him.",ASC99
644,"Luna, a 5-year-old Ragdoll, has been exhibiting concerning symptoms of cardiac arrhythmia. After brief play sessions, she starts coughing and appears fatigued. Luna recently fainted, alarming her owners. At the vet clinic, irregularities in her heartbeat and murmurs were detected. Luna seems lethargic and depressed, with open-mouth breathing indicating breathing difficulty. Her once hearty appetite has diminished, and she spends more time sleeping. Her gait has become unsteady, and occasional vomiting has weakened her.",ASC99
232,"Recognizing symptoms of diabetes in pets is essential for timely intervention. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should be monitored closely. Lethargy and weakness may develop, and pets may become more prone to infections. Some pets may display sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse can occur in advanced stages.",ASC165
229,"Detecting diabetes symptoms in pets is crucial for their health and well-being. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should not be overlooked. Lethargy and weakness may manifest, and pets may be more susceptible to infections. Some pets may exhibit sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, often resulting in weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse may occur as the condition progresses.",ASC165
643,"Bailey, a 9-year-old Poodle, has been struggling with cardiac arrhythmia symptoms. Despite his active lifestyle, he now coughs persistently, especially during exercise. Bailey's exercise intolerance has become evident as he tires quickly. Last week, he fainted suddenly, causing concern among his family members. At the vet's office, murmurs and irregular heartbeat were detected. Bailey appears lethargic and withdrawn, with open-mouth breathing indicating respiratory distress. His appetite has decreased, and he spends more time sleeping. Bailey's once steady gait has become unsteady, and occasional vomiting has left him weak.",ASC99
242,"Recognizing symptoms of diabetes in pets is crucial for their health and well-being. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should not be ignored. Lethargy and weakness may manifest, and pets may be more susceptible to infections. Some pets may display sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse may occur as the condition progresses.",ASC165
235,"Monitoring for symptoms of diabetes is crucial for pet owners to ensure the well-being of their furry friends. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should be carefully observed. Lethargy and weakness may develop, and pets may become more prone to infections. Some pets may exhibit sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, often leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse can occur in advanced stages.",ASC165
646,"Whiskers, a 6-year-old Tabby, is displaying worrying signs of cardiac arrhythmia. Following brief play sessions, he commences coughing and appears fatigued. Just recently, he fainted unexpectedly, sending his guardians into a panic. During the veterinary check-up, irregularities in his heartbeat and murmurs were detected. Whiskers seems lethargic and melancholic, with labored breathing indicative of respiratory difficulty. His once hearty appetite has diminished, and he spends more time in repose. His gait has become unsteady, and sporadic retching has enfeebled him.",ASC99
224,"Most commonly, diabetes is seen in middle-aged, male indoor cats that are obese.

The most important risk factors for diabetes mellitus in cats are:

Obesity

Lack of physical activity

Increasing age

Gender (males are diagnosed more frequently than females)

Castration (being neutered)

Glucocorticoid (steroid) therapy

Certain medical conditions may also predispose a cat to developing diabetes.

Most Common Signs of Diabetes Mellitus in Cats 
If left untreated, diabetes mellitus can progress to a stage of the disease that is life-threatening for cats. So it’s important for you to know the symptoms of diabetes in cats, and to contact your veterinarian right away if you believe that your cat may be experiencing any of them.

Increased thirst

Increase in frequency and volume of urination

Urinating outside the litter box

Increased appetite

Weight loss (despite a hearty appetite)

Vomiting

Muscle wasting

Lethargy or weakness

Poor coat quality (oily coat, dandruff)

Plantigrade stance (less common)

In cases of uncontrolled diabetes, cats may develop damage to the nerves in their hind limbs, which causes a plantigrade stance. Instead of walking on their paws, these cats walk with a “dropped hock,” where their whole foot almost or completely touching the ground. This is a form of diabetic neuropathy.",ASC165
246,"increased thirst and/or appetites, passing more urines, weight losses, lethargies and weaknesses, vomitings, being more prone to infections, sunken back legs, standing on their ankles, Increased urinations, Excessive thirsts, Increased hungers, Enlargements of the liver, Poor coats, Weaknesses, Bladder infections, Vomiting, Collapses.",ASC165
254,Increased thirst. Passing more urine. Weight loss. Lethargy and weakness. Vomiting. Being more prone to infections. Sunken back legs. Standing on its ankles. Increased urination. Excessive thirst. Increased hunger. Weight loss. Enlargement of the liver. Poor coat. Weakness. Bladder infections. Vomiting. Collapse.,ASC165
217,"Early signs. The owner will sometimes notice certain symptoms that can be early signs of diabetes:

Excessive thirst. The dog may drink frequently and empty the water bowl more often.
Increased urination. The dog may ask to go outside frequently and may start having “accidents” in the house. Increased urination (and increased thirst) happens because the body is trying to get rid of excess sugar by sending it out through urine, along with water that bonds to the sugar.
Weight loss. The dog can lose weight despite eating normal portions. This is because the dog isn’t efficiently converting nutrients from its food.
Increased appetite. The dog can be very hungry all the time because the body’s cells aren’t getting all the glucose they need, even though the dog is eating a normal amount.",ASC165
613,"Shortness of breath
Weakness
Fainting
Lethargy
Cough
Exercise intolerance
Decreased appetite
Fast heartbeat
Losing consciousness
Rapid breathing
Collapse
Excessive panting
Sudden death
Weight loss",ASC99
214,"Noticing the early signs of diabetes is the most important step in taking care of your pet. If you see any of the following signs, your pet should be examined by a veterinarian. The earlier the diagnosis, the better chance your pet may have for a longer and healthier life.

Excessive water drinking and increased urination

Weight loss, even though there may be an increased appetite

Decreased appetite

Cloudy eyes (especially in dogs)

Chronic or recurring infections (including skin infections and urinary infections)",ASC165
221,"Diabetes is one of the most common hormonal disorders found in cats
Some cases can be kept under control but underlying conditions are common and sadly not all cases respond well to treatment
Insulin injections will normally be needed alongside a carefully-managed diet
Older cats and those that are overweight are at most at risk of getting diabetes
Symptoms include increased urination, excessive thirst and weight loss",ASC165
654,"Whiskers, a 9-year-old Tabby, is grappling with cardiac arrhythmia symptoms. Despite his enthusiasm for play, he now endures frequent coughing spells, especially during physical exertion. Whiskers's intolerance to exercise has become evident as he quickly tires out. Just last week, he collapsed unexpectedly, causing alarm among his family members. During the veterinary examination, irregular heartbeats and murmurs were observed. Whiskers seems lethargic and withdrawn, with panting and wheezing indicative of respiratory distress. His appetite has decreased, and he spends more time in slumber. Whiskers's once steady gait has become unsteady, and sporadic retching has left him weakened.",ASC99
223,"Increased urination – caused by the glucose drawing water with it into the urine
Excessive thirst – caused by the body trying to keep up with the excess fluid loss
Increased hunger – because the body thinks it’s starving
Weight loss – because the sugars in the diet can’t be used by the body if there is not enough insulin, and so they are lost in the urine. This means the cat effectively isn’t getting enough calories and so the body starts to break down the fat reserves.

Enlargement of the liver
Poor coat
Weakness
Bladder infections
Vomiting
Collapse",ASC165
614,"Many pets will not show noticeable outward signs of an abnormal heart rhythm unless it is sustained (long lasting). The signs they show may be subtle and falsely attributed to other things, such as a pet aging. Commonly reported signs include sleeping or lying about the house more, weakness, lethargy, collapse or near collapse (stumbling, being wobbly), vomiting, and decreased appetite.  These signs may wax and wane as an abnormal heart rhythm comes and goes.",ASC99
625,"Coughing, exercise intolerance, fainting, irregular heartbeat, lethargy and depression, murmurs, open-mouth breathing, difficulty breathing, pale or bluish mucus membranes or skin, rapid breathing, reduced appetite, sleeping more, unsteady gait while walking, vomiting, weakness.",ASC99
238,"Being attentive to symptoms of diabetes in pets is crucial for ensuring their well-being. Signs such as increased thirst and/or appetite, passing more urine, and weight loss should be monitored closely. Lethargy and weakness may become evident, and pets may be more susceptible to infections. Some pets may display sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse may occur as the condition progresses.",ASC165
250,"Sunken back legs, Weight loss, Bladder infections, Increased urination, Collapse, Increased hunger, Vomiting, Enlargement of the liver, Being more prone to infections, Poor coat, Excessive thirst, Lethargy and weakness, Passing more urine, Standing on its ankles, Increased thirst and/or appetite.",ASC165
632,"Vomiting, weakness, open-mouth breathing, difficulty breathing, fainting, exercise intolerance, coughing, rapid breathing, irregular heartbeat, sleeping more, reduced appetite, lethargy and depression, unsteady gait while walking, murmurs, pale or bluish mucus membranes or skin.",ASC99
647,"Luna, a 5-year-old Golden Retriever, is grappling with cardiac arrhythmia symptoms. Despite her zest for walks, she now experiences frequent bouts of coughing, particularly during physical exertion. Luna's inability to tolerate exercise has become evident as she quickly becomes fatigued. Just the other day, she collapsed unexpectedly, causing alarm among her family members. During the veterinary examination, irregular heartbeats and murmurs were observed. Luna appears listless and disinterested, with panting and wheezing indicative of respiratory distress. Her appetite has waned, and she spends more time in slumber. Luna's once steady gait has become unsteady, and sporadic retching has left her weakened.",ASC99
641,"Daisy, a 7-year-old Beagle, has been struggling with symptoms of cardiac arrhythmia. Despite her energetic nature, she now coughs persistently, especially after walks. Daisy's exercise tolerance has decreased noticeably. Last week, she fainted suddenly, causing concern among her family members. At the vet's office, murmurs and irregular heartbeat were detected. Daisy appears lethargic and disinterested, with open-mouth breathing indicating respiratory distress. Her appetite has decreased, and she spends more time sleeping. Daisy's once steady gait has become unsteady, and occasional vomiting has left her weak.",ASC99
629,"Arrhythmic pulse, murmuring sounds, cough, intolerance to exertion, loss of consciousness, fatigue and despondency, panting, labored breathing, pallor or cyanosis of mucous membranes or skin, accelerated respiration, diminished hunger, increased slumber, unstable gait, regurgitation, feebleness.",ASC99
252,"Vomiting, Sunken back legs, Standing on its ankles, Poor coat, Passing more urine, Lethargy and weakness, Increased urination, Increased thirst and/or appetite, Increased hunger, Excessive thirst, Enlargement of the liver, Collapse, Bladder infections, Being more prone to infections, Weight loss.",ASC165
230,"Being attentive to symptoms of diabetes in pets is essential for their health. Look out for signs such as increased thirst and/or appetite, passing more urine, and weight loss. Lethargy and weakness may develop, and pets may become more prone to infections. Some pets may display sunken back legs or stand on their ankles. Other symptoms include increased urination, excessive thirst, and increased hunger, leading to weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse can occur in advanced stages.",ASC165
638,"Simba, a 7-year-old Maine Coon, is showing concerning signs of cardiac arrhythmia. After brief play sessions, he starts coughing, unable to catch his breath. Simba recently fainted, leaving his owners worried. At the vet clinic, irregular heartbeats and murmurs were detected. Simba's energy levels have plummeted, and he seems depressed. His breathing is labored, with bluish gums indicating poor oxygenation. Simba's appetite has decreased, and he spends most of his day sleeping. His once agile gait is now unsteady, and occasional vomiting has weakened him.",ASC99
622,"What Causes an Arrhythmia?

There are many types of heart rhythm disturbances, and just as many potential causes. While heart disease can cause an arrhythmia, an arrhythmia does not necessarily indicate that your dog has a heart condition. Other causes of heart arrhythmias include:

Hypothyroidism (low thyroid hormone levels in the blood)
Chocolate toxicity
Imbalances in electrolytes (substances in the blood)
Drug reactions
Heartworm disease
Tumors
Trauma
What Are the Signs of an Arrhythmia?

Dogs with arrhythmias that are relatively harmless may show no outward signs. In many cases, however, an arrhythmia can lead to heart failure, changes in blood pressure, and alterations in blood flow to vital organs. Dogs with these types of arrhythmias may show signs such as:

Weakness, depression
Coughing or difficulty breathing
Exercise intolerance (difficulty exercising)
Fainting episodes
Pale gums
Sudden death",ASC99
618,"Clinical signs are anxiety, palpitations, faintness, dizziness, light headedness, syncope, fatigue, exertional intolerance, shortness of breath, seizures and congestive heart failure in human beings. Most of the same signs are present in dogs and cats although some of the subjective signs are more difficult but not always impossible to identify.",ASC99
251,"Increased thirst and/or appetite often accompanies passing more urine, weight loss, lethargy, and weakness. Vomiting, being more prone to infections, sunken back legs, and standing on its ankles are also symptoms. Increased urination, excessive thirst, and increased hunger are common, along with weight loss. Enlargement of the liver, poor coat, weakness, bladder infections, vomiting, and collapse may occur.",ASC165
619,"What are the symptoms of arrhythmias? 
Weakness
Collapse/fainting
Exercise intolerance
Fluid accumulation in the abdomen (bloating)
Increased respiratory rate
Labored breathing
Sudden death 
However, it is not uncommon for dogs and cats to appear outwardly normal (no symptoms) despite having a cardiac arrhythmia.",ASC99
248,"Increased thirst and/or appetite, passing more urination, weight losses, lethargy and weakness, vomiting, being more prone to infections, sunken back leg, standing on its ankles, Increased hunger, Excessive thirst, Weight loss, Enlargement of the liver, Poor coat, Weakness, Bladder infection, Vomiting, Collapses.",ASC165
639,"Rocky, an 8-year-old Bulldog, has been experiencing troubling symptoms of cardiac arrhythmia. Despite his love for walks, he now coughs persistently, especially during exercise. Rocky's exercise intolerance has become apparent as he tires quickly. Last week, he fainted suddenly, causing panic among his family members. At the vet's office, murmurs and irregular heartbeat were detected. Rocky seems lethargic and withdrawn, with open-mouth breathing indicating respiratory distress. His appetite has decreased, and he spends more time sleeping. Rocky's once steady gait has become unsteady, and occasional vomiting has left him weak.",ASC99
637,"Max, a 5-year-old Golden Retriever, has been struggling with cardiac arrhythmia symptoms. Despite being an active dog, he now coughs persistently after even short walks. Max's exercise intolerance has become evident as he tires easily during playtime. Recently, he fainted while chasing a ball, causing alarm among his family members. At the vet's office, irregularities in his heartbeat and murmurs were detected. Max appears lethargic and disinterested, with open-mouth breathing indicating respiratory distress. His once healthy appetite has decreased, and he spends more time sleeping. His gait has become unsteady, and occasional vomiting episodes have left him weak.",ASC99
219,"Diabetes in Cats: Symptoms, Causes, Risk Factors, Treatment, and Life Expectancy",ASC165
645,"Rusty, a 7-year-old German Shepherd, is grappling with cardiac arrhythmia manifestations. Despite his enthusiasm for walks, he now experiences frequent coughing fits, especially during physical activity. Rusty's intolerance to exercise has become apparent as he quickly tires out. Just last week, he collapsed unexpectedly, sparking alarm among his family members. During the veterinary examination, irregular heartbeats and murmurs were identified. Rusty seems lethargic and withdrawn, with panting and gasping indicative of respiratory distress. His appetite has dwindled, and he spends more time in slumber. Rusty's once steady stride has become unsteady, and sporadic retching has left him feeble.",ASC99
615,"Dogs with severe heart disease have more trouble breathing when lying down and will often sit or stand for long periods of time. Fatigue, Inability to Exercise – Dogs with heart disease will tire out more quickly on walks and during exercise.",ASC99
222,"What are the main symptoms of feline diabetes?
Increased urination – caused by the glucose drawing water with it into the urine
Excessive thirst – caused by the body trying to keep up with the excess fluid loss
Increased hunger – because the body thinks it’s starving
Weight loss – because the sugars in the diet can’t be used by the body if there is not enough insulin, and so they are lost in the urine. This means the cat effectively isn’t getting enough calories and so the body starts to break down the fat reserves.",ASC165
